orth,base,ctag
wychowanie,wychowanie,subst:sg:nom:n
wychowaniem,wychowanie,subst:sg:inst:n
wychowaniu,wychowanie,subst:sg:dat:n
wychowanka,wychowanek,subst:sg:gen:m1
wychowankami,wychowanek,subst:pl:inst:m1
wychowankiem,wychowanek,subst:sg:inst:m1
wychowankom,wychowanek,subst:pl:dat:m1
wychowankowi,wychowanek,subst:sg:dat:m1
wychowankowie,wychowanek,subst:pl:nom:m1
wychowanków,wychowanek,subst:pl:gen:m1
wychowaw,wychowaw,ign
wychowawcy,wychowawca,subst:sg:gen:m1
wychowawcza,wychowawczy,adj:sg:nom:f:pos
wychowawcze,wychowawczy,adj:sg:nom:n:pos
wychowawczego,wychowawczy,adj:sg:gen:m1:pos
wychowawczej,wychowawczy,adj:sg:gen:f:pos
wychowawczo,wychowawczo,adv:pos
wychowawczy,wychowawczy,adj:sg:nom:m1:pos
wychowawczych,wychowawczy,adj:pl:gen:m1:pos
wychowawczym,wychowawczy,adj:sg:inst:m1:pos
wychowawczymi,wychowawczy,adj:pl:inst:m1:pos
wychowawczą,wychowawczy,adj:sg:acc:f:pos
wychowawców,wychowawca,subst:pl:gen:m1
wychować,wychować,inf:perf
wychowu,wychów,subst:sg:gen:m3
wychowuje,wychowywać,fin:sg:ter:imperf
wychowują,wychowywać,fin:pl:ter:imperf
wychowująca,wychowywać,pact:sg:nom:f:imperf:aff
wychowujące,wychowywać,pact:sg:nom:n:imperf:aff
wychowującego,wychowywać,pact:sg:gen:m1:imperf:aff
wychowującej,wychowywać,pact:sg:gen:f:imperf:aff
wychowującemu,wychowywać,pact:sg:dat:m1:imperf:aff
wychowujący,wychowywać,pact:sg:nom:m1:imperf:aff
wychowujących,wychowywać,pact:pl:gen:m1:imperf:aff
wychowującym,wychowywać,pact:sg:inst:m1:imperf:aff
wychowującą,wychowywać,pact:sg:acc:f:imperf:aff
wychowywane,wychowywać,ppas:sg:nom:n:imperf:aff
wychowywania,wychowywać,ger:sg:gen:n:imperf:aff
wychowywanie,wychowywać,ger:sg:nom:n:imperf:aff
wychowywaniem,wychowywać,ger:sg:inst:n:imperf:aff
wychowywaniu,wychowywać,ger:sg:dat:n:imperf:aff
wychowywanych,wychowywać,ppas:pl:gen:m1:imperf:aff
wychowywać,wychowywać,inf:imperf
wycieczek,wycieczka,subst:pl:gen:f
wycieczki,wycieczka,subst:sg:gen:f
wycieczkowe,wycieczkowy,adj:sg:nom:n:pos
wycieczkowych,wycieczkowy,adj:pl:gen:m1:pos
wyciek,wyciek,subst:sg:nom:m3
wycieku,wyciek,subst:sg:gen:m3
wycieraczek,wycieraczka,subst:pl:gen:f
wycierania,wycierać,ger:sg:gen:n:imperf:aff
wycinane,wycinany,adj:sg:nom:n:pos
wycinania,wycinać,ger:sg:gen:n:imperf:aff
wycinanie,wycinać,ger:sg:nom:n:imperf:aff
wycinaniem,wycinać,ger:sg:inst:n:imperf:aff
wycinaniu,wycinać,ger:sg:dat:n:imperf:aff
wycinki,wycinek,subst:pl:nom:m3
wyciąg,wyciąg,subst:sg:nom:m3
wyciągach,wyciąg,subst:pl:loc:m3
wyciągami,wyciąg,subst:pl:inst:m3
wyciągarek,wyciągarka,subst:pl:gen:f
wyciągi,wyciąg,subst:pl:nom:m3
wyciągiem,wyciąg,subst:sg:inst:m3
wyciągniki,wyciągniki,ign
wyciągników,wyciągników,ign
wyciągowej,wyciągowy,adj:sg:gen:f:pos
wyciągowych,wyciągowy,adj:pl:gen:m1:pos
wyciągu,wyciąg,subst:sg:gen:m3
wyciągów,wyciąg,subst:pl:gen:m3
wycięcie,wycięcie,subst:sg:nom:n
wyciętej,wyciąć,ppas:sg:gen:f:perf:aff
wyco,wyco,ign
wycofa,wycofać,fin:sg:ter:perf
wycofali,wycofać,praet:pl:m1:perf
wycofana,wycofać,ppas:sg:nom:f:perf:aff
wycofane,wycofać,ppas:sg:nom:n:perf:aff
wycofanego,wycofać,ppas:sg:gen:m1:perf:aff
wycofanej,wycofać,ppas:sg:gen:f:perf:aff
wycofanemu,wycofać,ppas:sg:dat:m1:perf:aff
wycofania,wycofanie,subst:sg:gen:n
wycofanie,wycofanie,subst:sg:nom:n
wycofaniem,wycofanie,subst:sg:inst:n
wycofaniu,wycofanie,subst:sg:dat:n
wycofany,wycofać,ppas:sg:nom:m1:perf:aff
wycofanych,wycofać,ppas:pl:gen:m1:perf:aff
wycofanymi,wycofać,ppas:pl:inst:m1:perf:aff
wycofać,wycofać,inf:perf
wycofał,wycofać,praet:sg:m1:perf
wycofały,wycofać,praet:pl:m2:perf
wycofująca,wycofywać,pact:sg:nom:f:imperf:aff
wycofującej,wycofywać,pact:sg:gen:f:imperf:aff
wycofywania,wycofywać,ger:sg:gen:n:imperf:aff
wycofywanie,wycofywać,ger:sg:nom:n:imperf:aff
wycofywanych,wycofywać,ppas:pl:gen:m1:imperf:aff
wycofywać,wycofywać,inf:imperf
wyczarterowaniu,wyczarterować,ger:sg:dat:n:perf:aff
wyczekiwania,wyczekiwać,ger:sg:gen:n:imperf:aff
wyczerpana,wyczerpany,adj:sg:nom:f:pos
wyczerpane,wyczerpany,adj:sg:nom:n:pos
wyczerpania,wyczerpanie,subst:sg:gen:n
wyczerpanie,wyczerpanie,subst:sg:nom:n
wyczerpaniu,wyczerpanie,subst:sg:dat:n
wyczerpany,wyczerpany,adj:sg:nom:m1:pos
wyczerpać,wyczerpać,inf:perf
wyczerpało,wyczerpać,praet:sg:n:perf
wyczerpały,wyczerpać,praet:pl:m2:perf
wyczerpuje,wyczerpywać,fin:sg:ter:imperf
wyczerpujące,wyczerpujący,adj:sg:nom:n:pos
wyczerpującego,wyczerpujący,adj:sg:gen:m1:pos
wyczerpująco,wyczerpująco,adv:pos
wyczerpujący,wyczerpujący,adj:sg:nom:m1:pos
wyczerpujących,wyczerpujący,adj:pl:gen:m1:pos
wyczerpującym,wyczerpujący,adj:sg:inst:m1:pos
wyczerpującymi,wyczerpujący,adj:pl:inst:m1:pos
wyczerpującą,wyczerpujący,adj:sg:acc:f:pos
wyczerpywalnych,wyczerpywalny,adj:pl:gen:m1:pos
wyczuwalne,wyczuwalny,adj:sg:nom:n:pos
wyczynowego,wyczynowy,adj:sg:gen:m1:pos
wyczynowo,wyczynowo,adv:pos
wyczynowy,wyczynowy,adj:sg:nom:m1:pos
wyda,wydać,fin:sg:ter:perf
wydadzą,wydać,fin:pl:ter:perf
wydaje,wydawać,fin:sg:ter:imperf
wydajności,wydajność,subst:sg:gen:f
wydajność,wydajność,subst:sg:nom:f
wydają,wydawać,fin:pl:ter:imperf
wydając,wydawać,pcon:imperf
wydające,wydawać,pact:sg:nom:n:imperf:aff
wydającego,wydawać,pact:sg:gen:m1:imperf:aff
wydającej,wydawać,pact:sg:gen:f:imperf:aff
wydającemu,wydawać,pact:sg:dat:m1:imperf:aff
wydający,wydawać,pact:sg:nom:m1:imperf:aff
wydających,wydawać,pact:pl:gen:m1:imperf:aff
wydającym,wydawać,pact:sg:inst:m1:imperf:aff
wydającą,wydawać,pact:sg:acc:f:imperf:aff
wydalania,wydalać,ger:sg:gen:n:imperf:aff
wydalanie,wydalać,ger:sg:nom:n:imperf:aff
wydalał,wydalać,praet:sg:m1:imperf
wydaleni,wydalić,ppas:pl:nom:m1:perf:aff
wydalenia,wydalić,ger:sg:gen:n:perf:aff
wydalenie,wydalić,ger:sg:nom:n:perf:aff
wydaleniem,wydalić,ger:sg:inst:n:perf:aff
wydaleniu,wydalić,ger:sg:dat:n:perf:aff
wydali,wydać,praet:pl:m1:perf
wydalin,wydalina,subst:pl:gen:f
wydalinach,wydalina,subst:pl:loc:f
wydalić,wydalić,inf:perf
wydalił,wydalić,praet:sg:m1:perf
wydalone,wydalić,ppas:sg:nom:n:perf:aff
wydalony,wydalić,ppas:sg:nom:m1:perf:aff
wydalonych,wydalić,ppas:pl:gen:m1:perf:aff
wydana,wydać,ppas:sg:nom:f:perf:aff
wydane,wydać,ppas:sg:nom:n:perf:aff
wydanego,wydać,ppas:sg:gen:m1:perf:aff
wydanej,wydać,ppas:sg:gen:f:perf:aff
wydanemu,wydać,ppas:sg:dat:m1:perf:aff
wydania,wydanie,subst:sg:gen:n
wydaniach,wydanie,subst:pl:loc:n
wydanie,wydanie,subst:sg:nom:n
wydaniem,wydanie,subst:sg:inst:n
wydaniu,wydanie,subst:sg:dat:n
wydano,wydać,imps:perf
wydany,wydać,ppas:sg:nom:m1:perf:aff
wydanych,wydać,ppas:pl:gen:m1:perf:aff
wydanym,wydać,ppas:sg:inst:m1:perf:aff
wydanymi,wydać,ppas:pl:inst:m1:perf:aff
wydaną,wydać,ppas:sg:acc:f:perf:aff
wydarzenia,wydarzenie,subst:sg:gen:n
wydarzeniach,wydarzenie,subst:pl:loc:n
wydarzeniami,wydarzenie,subst:pl:inst:n
wydarzenie,wydarzenie,subst:sg:nom:n
wydarzeniem,wydarzenie,subst:sg:inst:n
wydarzeń,wydarzenie,subst:pl:gen:n
wydat,wydat,ign
wydatek,wydatek,subst:sg:nom:m3
wydatkach,wydatek,subst:pl:loc:m3
wydatkami,wydatek,subst:pl:inst:m3
wydatki,wydatek,subst:pl:nom:m3
wydatkom,wydatek,subst:pl:dat:m3
wydatkowana,wydatkować,ppas:sg:nom:f:imperf:aff
wydatkowane,wydatkować,ppas:sg:nom:n:imperf:aff
wydatkowanej,wydatkować,ppas:sg:gen:f:imperf:aff
wydatkowania,wydatkować,ger:sg:gen:n:imperf:aff
wydatkowanie,wydatkować,ger:sg:nom:n:imperf:aff
wydatkowaniem,wydatkować,ger:sg:inst:n:imperf:aff
wydatkowaniu,wydatkować,ger:sg:dat:n:imperf:aff
wydatkowanych,wydatkować,ppas:pl:gen:m1:imperf:aff
wydatkowanym,wydatkować,ppas:sg:inst:m1:imperf:aff
wydatkowanymi,wydatkować,ppas:pl:inst:m1:imperf:aff
wydatkowaną,wydatkować,ppas:sg:acc:f:imperf:aff
wydatkować,wydatkować,inf:imperf
wydatkował,wydatkować,praet:sg:m1:imperf
wydatkową,wydatkowy,adj:sg:acc:f:pos
wydatku,wydatek,subst:sg:gen:m3
wydatkuje,wydatkować,fin:sg:ter:imperf
wydatków,wydatek,subst:pl:gen:m3
wydawana,wydawać,ppas:sg:nom:f:imperf:aff
wydawane,wydawać,ppas:sg:nom:n:imperf:aff
wydawanego,wydawać,ppas:sg:gen:m1:imperf:aff
wydawanej,wydawać,ppas:sg:gen:f:imperf:aff
wydawania,wydawanie,subst:sg:gen:n
wydawanie,wydawanie,subst:sg:nom:n
wydawaniem,wydawanie,subst:sg:inst:n
wydawaniu,wydawanie,subst:sg:dat:n
wydawany,wydawać,ppas:sg:nom:m1:imperf:aff
wydawanych,wydawać,ppas:pl:gen:m1:imperf:aff
wydawanym,wydawać,ppas:sg:inst:m1:imperf:aff
wydawanymi,wydawać,ppas:pl:inst:m1:imperf:aff
wydawaną,wydawać,ppas:sg:acc:f:imperf:aff
wydawać,wydawać,inf:imperf
wydawał,wydawać,praet:sg:m1:imperf
wydawały,wydawać,praet:pl:m2:imperf
wydawca,wydawca,subst:sg:nom:m1
wydawcom,wydawca,subst:pl:dat:m1
wydawcy,wydawca,subst:sg:gen:m1
wydawców,wydawca,subst:pl:gen:m1
wydawcą,wydawca,subst:sg:inst:m1
wydawcę,wydawca,subst:sg:acc:m1
wydawnictw,wydawnictwo,subst:pl:gen:n
wydawnictwa,wydawnictwo,subst:sg:gen:n
wydawnictwach,wydawnictwo,subst:pl:loc:n
wydawnictwie,wydawnictwo,subst:sg:loc:n
wydawnicza,wydawniczy,adj:sg:nom:f:pos
wydawniczego,wydawniczy,adj:sg:gen:m1:pos
wydawniczej,wydawniczy,adj:sg:gen:f:pos
wydawniczo,wydawniczo,adv:pos
wydawniczy,wydawniczy,adj:sg:nom:m1:pos
wydawniczych,wydawniczy,adj:pl:gen:m1:pos
wydawniczą,wydawniczy,adj:sg:acc:f:pos
wydać,wydać,inf:perf
wydał,wydać,praet:sg:m1:perf
wydała,wydać,praet:sg:f:perf
wydało,wydać,praet:sg:n:perf
wydały,wydać,praet:pl:m2:perf
wydań,wydanie,subst:pl:gen:n
wydm,wydma,subst:pl:gen:f
wydmuszek,wydmuszek,subst:sg:nom:m3
wydmy,wydma,subst:sg:gen:f
wydobycia,wydobycie,subst:sg:gen:n
wydobycie,wydobycie,subst:sg:nom:n
wydobyciem,wydobycie,subst:sg:inst:n
wydobyciu,wydobycie,subst:sg:dat:n
wydobyta,wydobyć,ppas:sg:nom:f:perf:aff
wydobyte,wydobyć,ppas:sg:nom:n:perf:aff
wydobytego,wydobyć,ppas:sg:gen:m1:perf:aff
wydobytej,wydobyć,ppas:sg:gen:f:perf:aff
wydobyty,wydobyć,ppas:sg:nom:m1:perf:aff
wydobytych,wydobyć,ppas:pl:gen:m1:perf:aff
wydobytym,wydobyć,ppas:sg:inst:m1:perf:aff
wydobytą,wydobyć,ppas:sg:acc:f:perf:aff
wydobywa,wydobywać,fin:sg:ter:imperf
wydobywającego,wydobywać,pact:sg:gen:m1:imperf:aff
wydobywającemu,wydobywać,pact:sg:dat:m1:imperf:aff
wydobywający,wydobywać,pact:sg:nom:m1:imperf:aff
wydobywających,wydobywać,pact:pl:gen:m1:imperf:aff
wydobywana,wydobywać,ppas:sg:nom:f:imperf:aff
wydobywane,wydobywać,ppas:sg:nom:n:imperf:aff
wydobywanego,wydobywać,ppas:sg:gen:m1:imperf:aff
wydobywanej,wydobywać,ppas:sg:gen:f:imperf:aff
wydobywania,wydobywać,ger:sg:gen:n:imperf:aff
wydobywanie,wydobywać,ger:sg:nom:n:imperf:aff
wydobywaniem,wydobywać,ger:sg:inst:n:imperf:aff
wydobywaniu,wydobywać,ger:sg:dat:n:imperf:aff
wydobywanych,wydobywać,ppas:pl:gen:m1:imperf:aff
wydobywczej,wydobywczy,adj:sg:gen:f:pos
wydobywczych,wydobywczy,adj:pl:gen:m1:pos
wydobywczym,wydobywczy,adj:sg:inst:m1:pos
wydobywczą,wydobywczy,adj:sg:acc:f:pos
wydostanie,wydostać,ger:sg:nom:n:perf:aff
wydruk,wydruk,subst:sg:nom:m3
wydruki,wydruk,subst:pl:nom:m3
wydrukiem,wydruk,subst:sg:inst:m3
wydrukowane,wydrukować,ppas:sg:nom:n:perf:aff
wydrukowanego,wydrukować,ppas:sg:gen:m1:perf:aff
wydrukowanej,wydrukować,ppas:sg:gen:f:perf:aff
wydrukowania,wydrukować,ger:sg:gen:n:perf:aff
wydrukowanie,wydrukować,ger:sg:nom:n:perf:aff
wydrukowaniu,wydrukować,ger:sg:dat:n:perf:aff
wydrukowano,wydrukować,imps:perf
wydrukowanych,wydrukować,ppas:pl:gen:m1:perf:aff
wydrukowanym,wydrukować,ppas:sg:inst:m1:perf:aff
wydrukowaną,wydrukować,ppas:sg:acc:f:perf:aff
wydrukować,wydrukować,inf:perf
wydruku,wydruk,subst:sg:gen:m3
wydruków,wydruk,subst:pl:gen:m3
wydychanego,wydychać,ppas:sg:gen:m1:imperf:aff
wydziale,wydział,subst:sg:loc:m3
wydział,wydział,subst:sg:nom:m3
wydziałach,wydział,subst:pl:loc:m3
wydziałami,wydział,subst:pl:inst:m3
wydziałem,wydział,subst:sg:inst:m3
wydziału,wydział,subst:sg:gen:m3
wydziały,wydział,subst:pl:nom:m3
wydziałów,wydział,subst:pl:gen:m3
wydziela,wydzielać,fin:sg:ter:imperf
wydzielających,wydzielać,pact:pl:gen:m1:imperf:aff
wydzielającą,wydzielać,pact:sg:acc:f:imperf:aff
wydzielane,wydzielać,ppas:sg:nom:n:imperf:aff
wydzielanej,wydzielać,ppas:sg:gen:f:imperf:aff
wydzielania,wydzielanie,subst:sg:gen:n
wydzielanie,wydzielanie,subst:sg:nom:n
wydzielanych,wydzielać,ppas:pl:gen:m1:imperf:aff
wydzielaną,wydzielać,ppas:sg:acc:f:imperf:aff
wydzielać,wydzielać,inf:imperf
wydzielenia,wydzielić,ger:sg:gen:n:perf:aff
wydzielenie,wydzielić,ger:sg:nom:n:perf:aff
wydzieleniu,wydzielić,ger:sg:dat:n:perf:aff
wydzieli,wydzielić,fin:sg:ter:perf
wydzielin,wydzielina,subst:pl:gen:f
wydzieliny,wydzielina,subst:sg:gen:f
wydzielić,wydzielić,inf:perf
wydzielił,wydzielić,praet:sg:m1:perf
wydzielona,wydzielić,ppas:sg:nom:f:perf:aff
wydzielone,wydzielić,ppas:sg:nom:n:perf:aff
wydzielonego,wydzielić,ppas:sg:gen:m1:perf:aff
wydzielonej,wydzielić,ppas:sg:gen:f:perf:aff
wydzielono,wydzielić,imps:perf
wydzielony,wydzielić,ppas:sg:nom:m1:perf:aff
wydzielonych,wydzielić,ppas:pl:gen:m1:perf:aff
wydzielonym,wydzielić,ppas:sg:inst:m1:perf:aff
wydzielonymi,wydzielić,ppas:pl:inst:m1:perf:aff
wydzieloną,wydzielić,ppas:sg:acc:f:perf:aff
wydzierżawia,wydzierżawiać,fin:sg:ter:imperf
wydzierżawiają,wydzierżawiać,fin:pl:ter:imperf
wydzierżawiającego,wydzierżawiać,pact:sg:gen:m1:imperf:aff
wydzierżawiający,wydzierżawiać,pact:sg:nom:m1:imperf:aff
wydzierżawiającym,wydzierżawiać,pact:sg:inst:m1:imperf:aff
wydzierżawiana,wydzierżawiać,ppas:sg:nom:f:imperf:aff
wydzierżawiane,wydzierżawiać,ppas:sg:nom:n:imperf:aff
wydzierżawianej,wydzierżawiać,ppas:sg:gen:f:imperf:aff
wydzierżawiania,wydzierżawiać,ger:sg:gen:n:imperf:aff
wydzierżawianych,wydzierżawiać,ppas:pl:gen:m1:imperf:aff
wydzierżawienia,wydzierżawić,ger:sg:gen:n:perf:aff
wydzierżawienie,wydzierżawić,ger:sg:nom:n:perf:aff
wydzierżawieniu,wydzierżawić,ger:sg:dat:n:perf:aff
wydzierżawiona,wydzierżawić,ppas:sg:nom:f:perf:aff
wydzierżawione,wydzierżawić,ppas:sg:nom:n:perf:aff
wydzierżawiony,wydzierżawić,ppas:sg:nom:m1:perf:aff
wydzierżawionych,wydzierżawić,ppas:pl:gen:m1:perf:aff
wydzierżawić,wydzierżawić,inf:perf
wydłuża,wydłużać,fin:sg:ter:imperf
wydłużenia,wydłużyć,ger:sg:gen:n:perf:aff
wydłużenie,wydłużyć,ger:sg:nom:n:perf:aff
wydłużeniu,wydłużyć,ger:sg:dat:n:perf:aff
wydłużonej,wydłużony,adj:sg:gen:f:pos
wydłużony,wydłużony,adj:sg:nom:m1:pos
wydłużonym,wydłużony,adj:sg:inst:m1:pos
wydłużyć,wydłużyć,inf:perf
wyegzekwowana,wyegzekwować,ppas:sg:nom:f:perf:aff
wyegzekwowane,wyegzekwować,ppas:sg:nom:n:perf:aff
wyegzekwowanego,wyegzekwować,ppas:sg:gen:m1:perf:aff
wyegzekwowanej,wyegzekwować,ppas:sg:gen:f:perf:aff
wyegzekwowania,wyegzekwować,ger:sg:gen:n:perf:aff
wyegzekwowanie,wyegzekwować,ger:sg:nom:n:perf:aff
wyegzekwowaniu,wyegzekwować,ger:sg:dat:n:perf:aff
wyegzekwowany,wyegzekwować,ppas:sg:nom:m1:perf:aff
wyegzekwowanych,wyegzekwować,ppas:pl:gen:m1:perf:aff
wyeksportowana,wyeksportować,ppas:sg:nom:f:perf:aff
wyeksportowane,wyeksportować,ppas:sg:nom:n:perf:aff
wyeksportowanego,wyeksportować,ppas:sg:gen:m1:perf:aff
wyeksportowanej,wyeksportować,ppas:sg:gen:f:perf:aff
wyeksportowanie,wyeksportować,ger:sg:nom:n:perf:aff
wyeksportowanych,wyeksportować,ppas:pl:gen:m1:perf:aff
wyekwipowania,wyekwipować,ger:sg:gen:n:perf:aff
wyekwipowanie,wyekwipować,ger:sg:nom:n:perf:aff
wyeliminowane,wyeliminować,ppas:sg:nom:n:perf:aff
wyeliminowania,wyeliminowanie,subst:sg:gen:n
wyeliminowanie,wyeliminowanie,subst:sg:nom:n
wyeliminowaniu,wyeliminowanie,subst:sg:dat:n
wyeliminować,wyeliminować,inf:perf
wyeliminują,wyeliminować,fin:pl:ter:perf
wyemitowane,wyemitować,ppas:sg:nom:n:perf:aff
wyemitowanego,wyemitować,ppas:sg:gen:m1:perf:aff
wyemitowania,wyemitować,ger:sg:gen:n:perf:aff
wyemitowaniu,wyemitować,ger:sg:dat:n:perf:aff
wyemitowany,wyemitować,ppas:sg:nom:m1:perf:aff
wyemitowanych,wyemitować,ppas:pl:gen:m1:perf:aff
wyemitowanymi,wyemitować,ppas:pl:inst:m1:perf:aff
wyemitować,wyemitować,inf:perf
wyemitował,wyemitować,praet:sg:m1:perf
wyemituje,wyemitować,fin:sg:ter:perf
wygasa,wygasać,fin:sg:ter:imperf
wygasają,wygasać,fin:pl:ter:imperf
wygasające,wygasać,pact:sg:nom:n:imperf:aff
wygasającym,wygasać,pact:sg:inst:m1:imperf:aff
wygasania,wygasać,ger:sg:gen:n:imperf:aff
wygasną,wygasnąć,fin:pl:ter:perf
wygasnąć,wygasnąć,inf:perf
wygaszania,wygaszać,ger:sg:gen:n:imperf:aff
wygaszeniu,wygasić,ger:sg:dat:n:perf:aff
wygasł,wygasnąć,praet:sg:m1:perf
wygasła,wygasły,adj:sg:nom:f:pos
wygasłego,wygasły,adj:sg:gen:m1:pos
wygasłej,wygasły,adj:sg:gen:f:pos
wygasło,wygasnąć,praet:sg:n:perf
wygasły,wygasły,adj:sg:nom:m1:pos
wygasłych,wygasły,adj:pl:gen:m1:pos
wygaśnie,wygasnąć,fin:sg:ter:perf
wygaśnięcia,wygaśnięcie,subst:sg:gen:n
wygaśnięcie,wygaśnięcie,subst:sg:nom:n
wygaśnięciem,wygaśnięcie,subst:sg:inst:n
wygaśnięciu,wygaśnięcie,subst:sg:dat:n
wyginięciem,wyginięcie,subst:sg:inst:n
wygląd,wygląd,subst:sg:nom:m3
wyglądające,wyglądać,pact:sg:nom:n:imperf:aff
wyglądającą,wyglądać,pact:sg:acc:f:imperf:aff
wyglądem,wygląd,subst:sg:inst:m3
wyglądu,wygląd,subst:sg:gen:m3
wyglądzie,wygląd,subst:sg:loc:m3
wygody,wygoda,subst:sg:gen:f
wygospodarowanego,wygospodarować,ppas:sg:gen:m1:perf:aff
wygrane,wygrana,subst:pl:nom:f
wygranej,wygrana,subst:sg:gen:f
wygranych,wygrana,subst:pl:gen:f
wygranymi,wygrana,subst:pl:inst:f
wygraną,wygrana,subst:sg:acc:f
wygórowanej,wygórowany,adj:sg:gen:f:pos
wygórowanych,wygórowany,adj:pl:gen:m1:pos
wygórowaną,wygórowany,adj:sg:acc:f:pos
wygłaszanie,wygłaszać,ger:sg:nom:n:imperf:aff
wyhodowane,wyhodować,ppas:sg:nom:n:perf:aff
wyhodowanie,wyhodować,ger:sg:nom:n:perf:aff
wyhodowany,wyhodować,ppas:sg:nom:m1:perf:aff
wyhodowanych,wyhodować,ppas:pl:gen:m1:perf:aff
wyhodowała,wyhodować,praet:sg:f:perf
wyhodowały,wyhodować,praet:pl:m2:perf
wyizolowane,wyizolować,ppas:sg:nom:n:perf:aff
wyjadą,wyjechać,fin:pl:ter:perf
wyjawienia,wyjawić,ger:sg:gen:n:perf:aff
wyjawienie,wyjawić,ger:sg:nom:n:perf:aff
wyjazd,wyjazd,subst:sg:nom:m3
wyjazdach,wyjazd,subst:pl:loc:m3
wyjazdami,wyjazd,subst:pl:inst:m3
wyjazdem,wyjazd,subst:sg:inst:m3
wyjazdowego,wyjazdowy,adj:sg:gen:m1:pos
wyjazdowej,wyjazdowy,adj:sg:gen:f:pos
wyjazdowych,wyjazdowy,adj:pl:gen:m1:pos
wyjazdowym,wyjazdowy,adj:sg:inst:m1:pos
wyjazdu,wyjazd,subst:sg:gen:m3
wyjazdów,wyjazd,subst:pl:gen:m3
wyjaśni,wyjaśnić,fin:sg:ter:perf
wyjaśnia,wyjaśniać,fin:sg:ter:imperf
wyjaśniają,wyjaśniać,fin:pl:ter:imperf
wyjaśniająca,wyjaśniający,adj:sg:nom:f:pos
wyjaśniające,wyjaśniający,adj:sg:nom:n:pos
wyjaśniającego,wyjaśniający,adj:sg:gen:m1:pos
wyjaśniającej,wyjaśniający,adj:sg:gen:f:pos
wyjaśniających,wyjaśniający,adj:pl:gen:m1:pos
wyjaśniającym,wyjaśniający,adj:sg:inst:m1:pos
wyjaśniającymi,wyjaśniający,adj:pl:inst:m1:pos
wyjaśniającą,wyjaśniający,adj:sg:acc:f:pos
wyjaśniania,wyjaśniać,ger:sg:gen:n:imperf:aff
wyjaśnianie,wyjaśniać,ger:sg:nom:n:imperf:aff
wyjaśnianiu,wyjaśniać,ger:sg:dat:n:imperf:aff
wyjaśniać,wyjaśniać,inf:imperf
wyjaśnienia,wyjaśnienie,subst:sg:gen:n
wyjaśnieniach,wyjaśnienie,subst:pl:loc:n
wyjaśnieniami,wyjaśnienie,subst:pl:inst:n
wyjaśnienie,wyjaśnienie,subst:sg:nom:n
wyjaśnieniem,wyjaśnienie,subst:sg:inst:n
wyjaśnieniu,wyjaśnienie,subst:sg:dat:n
wyjaśnień,wyjaśnienie,subst:pl:gen:n
wyjaśnili,wyjaśnić,praet:pl:m1:perf
wyjaśniona,wyjaśnić,ppas:sg:nom:f:perf:aff
wyjaśnione,wyjaśnić,ppas:sg:nom:n:perf:aff
wyjaśnić,wyjaśnić,inf:perf
wyjdą,wyjść,fin:pl:ter:perf
wyjechali,wyjechać,praet:pl:m1:perf
wyjechał,wyjechać,praet:sg:m1:perf
wyjeździe,wyjazd,subst:sg:loc:m3
wyjeżdżającego,wyjeżdżać,pact:sg:gen:m1:imperf:aff
wyjeżdżającym,wyjeżdżać,pact:sg:inst:m1:imperf:aff
wyjąt,wyjąt,ign
wyjątek,wyjątek,subst:sg:nom:m3
wyjątkami,wyjątek,subst:pl:inst:m3
wyjątki,wyjątek,subst:pl:nom:m3
wyjątkiem,wyjątek,subst:sg:inst:m3
wyjątkowa,wyjątkowy,adj:sg:nom:f:pos
wyjątkowe,wyjątkowy,adj:sg:nom:n:pos
wyjątkowego,wyjątkowy,adj:sg:gen:m1:pos
wyjątkowo,wyjątkowo,adv:pos
wyjątkowy,wyjątkowy,adj:sg:nom:m1:pos
wyjątkowych,wyjątkowy,adj:pl:gen:m1:pos
wyjątkowym,wyjątkowy,adj:sg:inst:m1:pos
wyjątkowymi,wyjątkowy,adj:pl:inst:m1:pos
wyjątkową,wyjątkowy,adj:sg:acc:f:pos
wyjątku,wyjątek,subst:sg:gen:m3
wyjątków,wyjątek,subst:pl:gen:m3
wyjąwszy,wyjąć,pant:perf
wyjęcie,wyjąć,ger:sg:nom:n:perf:aff
wyjętych,wyjąć,ppas:pl:gen:m1:perf:aff
wyjścia,wyjście,subst:sg:gen:n
wyjście,wyjście,subst:sg:nom:n
wyjściem,wyjście,subst:sg:inst:n
wyjściowe,wyjściowy,adj:sg:nom:n:pos
wyjściowego,wyjściowy,adj:sg:gen:m1:pos
wyjściowych,wyjściowy,adj:pl:gen:m1:pos
wyjściowym,wyjściowy,adj:sg:inst:m1:pos
wyjść,wyjść,inf:perf
wykarczowania,wykarczować,ger:sg:gen:n:perf:aff
wykaz,wykaz,subst:sg:nom:m3
wykazach,wykaz,subst:pl:loc:m3
wykazali,wykazać,praet:pl:m1:perf
wykazami,wykaz,subst:pl:inst:m3
wykazana,wykazać,ppas:sg:nom:f:perf:aff
wykazane,wykazać,ppas:sg:nom:n:perf:aff
wykazanego,wykazać,ppas:sg:gen:m1:perf:aff
wykazanej,wykazać,ppas:sg:gen:f:perf:aff
wykazania,wykazać,ger:sg:gen:n:perf:aff
wykazanie,wykazać,ger:sg:nom:n:perf:aff
wykazaniem,wykazać,ger:sg:inst:n:perf:aff
