orth,base,cat
wyścigowymi,wyścigowy,adj
wyścigową,wyścigowy,adj
wyścigu,wyścig,subst
wyścigów,wyścig,subst
wyśle,wysłać,fin
wyświetlanego,wyświetlać,ppas
wyświetlanemu,wyświetlać,ppas
wyświetlania,wyświetlać,ger
wyświetlanie,wyświetlać,ger
wyświetlenie,wyświetlić,ger
wyświetlonych,wyświetlić,ppas
wyżej,wysoce,adv
wyżsi,wysoki,adj
wyższa,wysoki,adj
wyższe,wysoki,adj
wyższego,wysoki,adj
wyższej,wysoki,adj
wyższemu,wysoki,adj
wyższy,wysoki,adj
wyższych,wysoki,adj
wyższym,wysoki,adj
wyższymi,wysoki,adj
wyższą,wysoki,adj
wyżynny,wyżynny,adj
wyżynę,wyżyna,subst
wyżywienia,wyżywienie,subst
wyżywienie,wyżywienie,subst
wyżywieniem,wyżywienie,subst
wzajemna,wzajemny,adj
wzajemne,wzajemny,adj
wzajemnego,wzajemny,adj
wzajemnej,wzajemny,adj
wzajemnie,wzajemnie,adv
wzajemności,wzajemność,subst
wzajemność,wzajemność,subst
wzajemny,wzajemny,adj
wzajemnych,wzajemny,adj
wzajemnym,wzajemny,adj
wzajemnymi,wzajemny,adj
wzajemną,wzajemny,adj
wzasadniczy,wzasadniczy,ign
wzbogacające,wzbogacać,pact
wzbogacających,wzbogacać,pact
wzbogacane,wzbogacać,ppas
wzbogacania,wzbogacać,ger
wzbogacanie,wzbogacać,ger
wzbogacaniu,wzbogacać,ger
wzbogacenia,wzbogacić,ger
wzbogaceniu,wzbogacić,ger
wzbogacona,wzbogacić,ppas
wzbogaconej,wzbogacić,ppas
wzbogacony,wzbogacić,ppas
wzbogaconyzawartość,wzbogaconyzawartość,ign
wzbrania,wzbraniać,fin
wzbronionej,wzbronić,ppas
wzbroniony,wzbronić,ppas
wzbronionych,wzbronić,ppas
wzbudza,wzbudzać,fin
wzbudzają,wzbudzać,fin
wzbudzających,wzbudzać,pact
wzbudzanie,wzbudzać,ger
wzburzenia,wzburzenie,subst
wzdłuż,wzdłuż,adv
wzgląd,wzgląd,subst
względami,wzgląd,subst
względem,względem,prep
względna,względny,adj
względnej,względny,adj
względnie,względnie,adv
względniejsza,względny,adj
względniejsze,względny,adj
względu,wzgląd,subst
względy,wzgląd,subst
względzie,wzgląd,subst
względów,wzgląd,subst
wzgórze,wzgórze,subst
wziąć,wziąć,inf
wzięcia,wzięcie,subst
wzięcie,wzięcie,subst
wzięciem,wzięcie,subst
wzięli,wziąć,praet
wzięte,wzięty,adj
wzięto,wziąć,imps
wzięty,wzięty,adj
wzięła,wziąć,praet
wzięło,wziąć,praet
wzięły,wziąć,praet
wzmacniacze,wzmacniacz,subst
wzmacniaczy,wzmacniacz,subst
wzmacniania,wzmacniać,ger
wzmacnianie,wzmacniać,ger
wzmiance,wzmianka,subst
wzmianek,wzmianka,subst
wzmianka,wzmianka,subst
wzmianki,wzmianka,subst
wzmianką,wzmianka,subst
wzmiankę,wzmianka,subst
wzmocnienia,wzmocnienie,subst
wzmocnienie,wzmocnienie,subst
wzmocnieniem,wzmocnienie,subst
wzmocnione,wzmocnić,ppas
wzmocnionymi,wzmocnić,ppas
wzmożenie,wzmóc,ger
wzmożeniu,wzmóc,ger
wzmożone,wzmóc,ppas
wzmożonej,wzmóc,ppas
wzmożonym,wzmóc,ppas
wznawia,wznawiać,fin
wznawiane,wznawiać,ppas
wznawiania,wznawiać,ger
wzniesienia,wzniesienie,subst
wzniesienie,wzniesienie,subst
wzniesione,wznieść,ppas
wzniesiony,wznieść,ppas
wzniesionych,wznieść,ppas
wzniesionym,wznieść,ppas
wzniósł,wznieść,praet
wznosi,wznosić,fin
wznosić,wznosić,inf
wznoszenia,wznosić,ger
wznoszenie,wznosić,ger
wznoszeniem,wznosić,ger
wznoszeniu,wznosić,ger
wznoszone,wznosić,ppas
wznoszonych,wznosić,ppas
wznoszącego,wznosić,pact
wznowienia,wznowienie,subst
wznowienie,wznowienie,subst
wznowieniem,wznowienie,subst
wznowieniu,wznowienie,subst
wznowione,wznowić,ppas
wznowiono,wznowić,imps
wznowioną,wznowić,ppas
wznowić,wznowić,inf
wznowy,wznowa,subst
wzorach,wzór,subst
wzorami,wzór,subst
wzorca,wzorzec,subst
wzorcami,wzorzec,subst
wzorce,wzorzec,subst
wzorcem,wzorzec,subst
wzorcom,wzorzec,subst
wzorcowania,wzorcować,ger
wzorcowanie,wzorcować,ger
wzorcowaniem,wzorcować,ger
wzorcowań,wzorcować,ger
wzorcowe,wzorcowy,adj
wzorcowego,wzorcowy,adj
wzorcowy,wzorcowy,adj
wzorcowych,wzorcowy,adj
wzorcową,wzorcowy,adj
wzorcujące,wzorcować,pact
wzorcującego,wzorcować,pact
wzorcującym,wzorcować,pact
wzorców,wzorzec,subst
wzorem,wzór,subst
wzornictwa,wzornictwo,subst
wzornictwo,wzornictwo,subst
wzorników,wzornik,subst
wzorom,wzór,subst
wzorowa,wzorowy,adj
wzorowego,wzorowy,adj
wzorowi,wzór,subst
wzorowo,wzorowo,adv
wzorową,wzorowy,adj
wzoru,wzór,subst
wzory,wzór,subst
wzorze,wzór,subst
wzorzec,wzorzec,subst
wzorów,wzór,subst
wzrasta,wzrastać,fin
wzrastającej,wzrastający,adj
wzrastający,wzrastający,adj
wzrok,wzrok,subst
wzrokowego,wzrokowy,adj
wzrokowy,wzrokowy,adj
wzrokową,wzrokowy,adj
wzroku,wzrok,subst
wzrosną,wzrosnąć,fin
wzrosnąć,wzrosnąć,inf
wzrost,wzrost,subst
wzrostami,wzrost,subst
wzrostem,wzrost,subst
wzrostowi,wzrost,subst
wzrostu,wzrost,subst
wzrosty,wzrost,subst
wzrostów,wzrost,subst
wzrosły,wzrosły,adj
wzroście,wzrost,subst
wzrośnie,wzrosnąć,fin
wzruszania,wzruszać,ger
wzruszanie,wzruszać,ger
wzruszenia,wzruszenie,subst
wzruszenie,wzruszenie,subst
wzruszeniu,wzruszenie,subst
wzrósł,wzrosnąć,praet
wzwyż,wzwyż,adv
wzywa,wzywać,fin
wzywają,wzywać,fin
wzywając,wzywać,pcon
wzywająca,wzywać,pact
wzywające,wzywać,pact
wzywającego,wzywać,pact
wzywający,wzywać,pact
wzywanej,wzywać,ppas
wzywania,wzywać,ger
wzywanie,wzywać,ger
wzywany,wzywać,ppas
wzywać,wzywać,inf
wzór,wzór,subst
wód,woda,subst
wódek,wódka,subst
wódki,wódka,subst
wódzki,wódzki,ign
wódzkie,wódzkie,ign
wództw,wództwo,subst
wójcie,wójt,subst
wójt,wójt,subst
wójta,wójt,subst
wójtach,wójt,subst
wójtami,wójt,subst
wójtem,wójt,subst
wójtom,wójt,subst
wójtowi,wójt,subst
wójtowie,wójt,subst
wójtów,wójt,subst
wówczas,wówczas,adv
wóz,wóz,subst
wózka,wózek,subst
wózkach,wózek,subst
wózki,wózek,subst
wózkiem,wózek,subst
wózkowni,wózkownia,subst
wózku,wózek,subst
wózków,wózek,subst
wą,wą,ign
wąbrzeski,wąbrzeski,adj
wąchania,wąchać,ger
wąglik,wąglik,subst
wągrowiecki,wągrowiecki,adj
wąskich,wąski,adj
wąskie,wąski,adj
wąskiej,wąski,adj
wąskimi,wąski,adj
wąsów,wąs,subst
wątkiem,wątek,subst
wątku,wątek,subst
wątpliwa,wątpliwy,adj
wątpliwe,wątpliwy,adj
wątpliwości,wątpliwość,subst
wątpliwościach,wątpliwość,subst
wątpliwość,wątpliwość,subst
wątpliwych,wątpliwy,adj
wątroby,wątroba,subst
wędkami,wędka,subst
wędkarskich,wędkarski,adj
wędkarskie,wędkarski,adj
wędkarskiej,wędkarski,adj
wędkarską,wędkarski,adj
wędkowania,wędkować,ger
wędką,wędka,subst
wędlinami,wędlina,subst
wędrowny,wędrowny,adj
wędrownych,wędrowny,adj
wędrówek,wędrówka,subst
wędzarni,wędzarnia,subst
wędzenia,wędzić,ger
wędzideł,wędzidło,subst
wędzony,wędzić,ppas
węgiel,węgiel,subst
węgier,węgier,subst
węgierskiej,węgierski,adj
węgierską,węgierski,adj
węgla,węgiel,subst
węglan,węglan,subst
węglanów,węglan,subst
węglem,węgiel,subst
węglików,węglik,subst
węglowe,węglowy,adj
węglowego,węglowy,adj
węglowej,węglowy,adj
węglowemu,węglowy,adj
węglowodanowe,węglowodanowy,adj
węglowodorami,węglowodór,subst
węglowodoru,węglowodór,subst
węglowodory,węglowodór,subst
węglowodorów,węglowodór,subst
węglowodór,węglowodór,subst
węglowy,węglowy,adj
węglowych,węglowy,adj
węglowym,węglowy,adj
węgorzy,węgorz,subst
węgrowski,węgrowski,adj
węszych,węszych,ign
węzeł,węzeł,subst
węzłem,węzeł,subst
węzłów,węzeł,subst
węższy,wąski,adj
włada,włady,adj
władają,władać,fin
władająca,władać,pact
władające,władać,pact
władającego,władać,pact
władającej,władać,pact
władający,władać,pact
władających,władać,pact
władającym,władać,pact
władania,władanie,subst
władanie,władanie,subst
władaniu,władanie,subst
władny,władny,adj
władnącej,władnący,adj
władysława,Władysław,subst
władz,władza,subst
władza,władza,subst
władzach,władza,subst
władzami,władza,subst
władze,władza,subst
władzom,władza,subst
władzy,władza,subst
władzą,władza,subst
władzę,władza,subst
włamaniem,włamanie,subst
własna,własny,adj
własne,własne,subst
własnego,własne,subst
własnej,własny,adj
własnemu,własne,subst
własnoręczne,własnoręczny,adj
własnoręcznego,własnoręczny,adj
własnoręcznemu,własnoręczny,adj
własnoręcznie,własnoręcznie,adv
własnoręczności,własnoręczność,subst
własnoręczność,własnoręczność,subst
własnoręczny,własnoręczny,adj
własnoręcznym,własnoręczny,adj
własnoręcznymi,własnoręczny,adj
własności,własność,subst
własnościowe,własnościowy,adj
własnościowego,własnościowy,adj
własnościowej,własnościowy,adj
własnościowo,własnościowo,ign
własnościowych,własnościowy,adj
własnościowym,własnościowy,adj
własnością,własność,subst
własność,własność,subst
własny,własny,adj
własnych,własne,subst
własnym,własne,subst
własnymi,własne,subst
własną,własny,adj
włazem,właz,subst
właś,własić,impt
właści,właść,subst
właściciel,właściciel,subst
właściciela,właściciel,subst
właścicielach,właściciel,subst
właścicielami,właściciel,subst
właściciele,właściciel,subst
właścicielem,właściciel,subst
właścicieli,właściciel,subst
właścicielom,właściciel,subst
właścicielowi,właściciel,subst
właścicielskie,właścicielski,adj
właścicielu,właściciel,subst
właściowści,właściowści,ign
właściwa,właściwy,adj
właściwe,właściwy,adj
właściwego,właściwy,adj
właściwej,właściwy,adj
właściwemu,właściwy,adj
właściwi,właściwy,adj
właściwie,właściwie,adv
właściwości,właściwość,subst
właściwościach,właściwość,subst
właściwościami,właściwość,subst
właściwościom,właściwość,subst
właściwością,właściwość,subst
właściwość,właściwość,subst
właściwy,właściwy,adj
właściwych,właściwy,adj
właściwym,właściwy,adj
właściwymi,właściwy,adj
właściwą,właściwy,adj
włochate,włochaty,adj
włochy,Włochy,subst
włocławek,Włocławek,subst
włocławku,Włocławek,subst
włocławski,włocławski,adj
włodawski,włodawski,adj
włosa,włos,subst
włosami,włos,subst
włosem,włos,subst
włosia,włosie,subst
włosie,włos,subst
włoska,włosek,subst
włoskich,włoski,subst
włoskie,włoski,subst
włoskiej,włoski,adj
włoskimi,włoski,subst
włoską,włoski,adj
włosy,włos,subst
włoszech,Włochy,subst
włosów,włos,subst
włośni,włosień,subst
włośnica,włośnica,subst
włośnie,włosień,subst
włożyć,włożyć,inf
włóczki,włóczek,subst
włókien,włókno,subst
włókiennicza,włókienniczy,adj
włókiennicze,włókienniczy,adj
włókienniczego,włókienniczy,adj
włókienniczych,włókienniczy,adj
włókienniczym,włókienniczy,adj
włókienniczymi,włókienniczy,adj
włókna,włókno,subst
włóknami,włókno,subst
włóknin,włóknina,subst
włókniny,włóknina,subst
włókniste,włóknisty,adj
włóknisty,włóknisty,adj
włóknistych,włóknisty,adj
włókno,włókno,subst
włącza,włączać,fin
włączając,włączać,pcon
włączane,włączać,ppas
włączanego,włączać,ppas
włączania,włączać,ger
włączenia,włączyć,ger
włączenie,włączyć,ger
włączeniem,włączyć,ger
włączeniu,włączyć,ger
włącznie,włącznie,adv
włączona,włączyć,ppas
włączone,włączyć,ppas
włączonego,włączyć,ppas
włączonej,włączyć,ppas
włączono,włączyć,imps
włączony,włączyć,ppas
włączonych,włączyć,ppas
włączonym,włączyć,ppas
włączonymi,włączyć,ppas
włączyć,włączyć,inf
wścieklizna,wścieklizna,subst
wścieklizny,wścieklizna,subst
wściekliźnie,wścieklizna,subst
wśród,wśród,prep
x,X,num
xa,xa,ign
xi,XI,num
xii,XII,num
xiii,XIII,num
xiv,XIV,num
xix,XIX,num
xl,XL,num
xli,XLI,num
xlii,XLII,num
xliii,XLIII,num
xliv,XLIV,num
xv,XV,num
xvi,XVI,num
xvii,XVII,num
xviii,XVIII,num
xx,XX,num
xxi,XXI,num
xxii,XXII,num
xxiii,XXIII,num
xxiv,XXIV,num
xxix,XXIX,num
xxv,XXV,num
xxvi,XXVI,num
xxvii,XXVII,num
xxviii,XXVIII,num
xxx,XXX,num
xxxi,XXXI,num
xxxii,XXXII,num
xxxiii,XXXIII,num
xxxiv,XXXIV,num
xxxix,XXXIX,num
xxxv,XXXV,num
xxxvi,XXXVI,num
xxxvii,XXXVII,num
xxxviii,XXXVIII,num
y,y,ign
ych,ych,ign
ycia,ycia,ign
ycie,ycie,ign
yersinia,yersinia,ign
yl,yl,ign
yletylo,yletylo,ign
yli,yli,ign
ylmetanon,ylmetanon,ign
ym,ym,ign
ymierzonych,ymierzonych,ign
ytowe,ytowe,ign
ywienia,ywienia,ign
ywieniowego,ywieniowego,ign
ywnością,ywnością,ign
z,z,prep
za,za,qub
zaadresowanego,zaadresować,ppas
zaakceptowali,zaakceptować,praet
zaakceptowana,zaakceptować,ppas
zaakceptowane,zaakceptować,ppas
zaakceptowanego,zaakceptować,ppas
zaakceptowania,zaakceptować,ger
zaakceptowaniu,zaakceptować,ger
zaakceptowano,zaakceptować,imps
zaakceptowany,zaakceptować,ppas
zaakceptowanych,zaakceptować,ppas
zaakceptowanym,zaakceptować,ppas
zaakceptować,zaakceptować,inf
zaakceptują,zaakceptować,fin
zaalenie,zaalenie,ign
zaangażowane,zaangażować,ppas
zaangażowanego,zaangażować,ppas
zaangażowania,zaangażowanie,subst
zaangażowanie,zaangażowanie,subst
zaangażowaniem,zaangażowanie,subst
zaangażowaniu,zaangażowanie,subst
zaangażowany,zaangażować,ppas
zaangażowanych,zaangażować,ppas
zaangażowanymi,zaangażować,ppas
zaawansowane,zaawansowana,subst
zaawansowanej,zaawansowana,subst
zaawansowania,zaawansowanie,subst
zaawansowanie,zaawansowanie,subst
zaawansowany,zaawansowany,subst
zaawansowanych,zaawansowana,subst
zaazotowany,zaazotować,ppas
zabarwienie,zabarwienie,subst
zabarwiony,zabarwiony,adj
zabarwionych,zabarwiony,adj
zabaw,zabawa,subst
zabawek,zabawka,subst
zabawki,zabawka,subst
zabawowych,zabawowy,adj
zabez,zabez,subst
zabezpiecza,zabezpieczać,fin
zabezpieczająca,zabezpieczający,adj
zabezpieczające,zabezpieczający,adj
zabezpieczającego,zabezpieczający,adj
zabezpieczającej,zabezpieczający,adj
zabezpieczający,zabezpieczający,adj
zabezpieczających,zabezpieczający,adj
zabezpieczającym,zabezpieczający,adj
zabezpieczającymi,zabezpieczający,adj
zabezpieczającą,zabezpieczający,adj
zabezpieczane,zabezpieczać,ppas
zabezpieczania,zabezpieczać,ger
zabezpieczanie,zabezpieczać,ger
zabezpieczaniem,zabezpieczać,ger
zabezpieczaniu,zabezpieczać,ger
zabezpieczanych,zabezpieczać,ppas
zabezpieczać,zabezpieczać,inf
zabezpieczały,zabezpieczać,praet
zabezpieczeni,zabezpieczyć,ppas
zabezpieczenia,zabezpieczenie,subst
zabezpieczeniach,zabezpieczenie,subst
zabezpieczenie,zabezpieczenie,subst
zabezpieczeniem,zabezpieczenie,subst
zabezpieczeniu,zabezpieczenie,subst
zabezpieczeń,zabezpieczenie,subst
zabezpieczona,zabezpieczyć,ppas
zabezpieczone,zabezpieczyć,ppas
zabezpieczonego,zabezpieczyć,ppas
zabezpieczonej,zabezpieczyć,ppas
zabezpieczono,zabezpieczyć,imps
zabezpieczony,zabezpieczyć,ppas
zabezpieczonych,zabezpieczyć,ppas
zabezpieczonym,zabezpieczyć,ppas
zabezpieczonymi,zabezpieczyć,ppas
zabezpieczoną,zabezpieczyć,ppas
zabezpieczyć,zabezpieczyć,inf
zabezpieczył,zabezpieczyć,praet
zabicia,zabicie,subst
zabicie,zabicie,subst
zabieg,zabieg,subst
zabiegach,zabieg,subst
zabiegami,zabieg,subst
zabiegi,zabieg,subst
zabiegiem,zabieg,subst
zabiegom,zabieg,subst
zabiegowego,zabiegowy,subst
zabiegowej,zabiegowy,adj
zabiegowi,zabieg,subst
zabiegowy,zabiegowy,subst
zabiegowych,zabiegowy,subst
zabiegu,zabieg,subst
zabiegów,zabieg,subst
zabiera,zabierać,fin
zabierają,zabierać,fin
zabierając,zabierać,pcon
zabierania,zabierać,ger
zabieraniu,zabierać,ger
zabieranych,zabierać,ppas
zabierać,zabierać,inf
zabija,zabijać,fin
zabijającego,zabijający,adj
zabijane,zabijać,ppas
zabijania,zabijać,ger
zabijanie,zabijać,ger
zabijaniu,zabijać,ger
zabijać,zabijać,inf
zabite,zabita,subst
zabity,zabity,subst
zabitych,zabita,subst
zablokowane,zablokować,ppas
zablokowany,zablokować,ppas
zablokowanych,zablokować,ppas
zablokować,zablokować,inf
zaborców,zaborca,subst
zaboru,zabór,subst
zabraknie,zabraknąć,fin
zabrakło,zabraknąć,praet
zabrane,zabrać,ppas
zabranej,zabrać,ppas
zabrania,zabrać,ger
zabranie,zabrać,ger
zabraniem,zabrać,ger
zabrano,zabrać,imps
zabrany,zabrać,ppas
zabrać,zabrać,inf
zabroniona,zabronić,ppas
zabronione,zabronić,ppas
zabronionego,zabronić,ppas
zabronionej,zabronić,ppas
zabroniony,zabronić,ppas
zabronionych,zabronić,ppas
zabronionym,zabronić,ppas
zabronić,zabronić,inf
zabrudzeniu,zabrudzenie,subst
zabrudzone,zabrudzić,ppas
zabrze,Zabrze,subst
zabrzu,Zabrze,subst
zabudowa,zabudowa,subst
zabudowana,zabudować,ppas
zabudowane,zabudować,ppas
zabudowanego,zabudować,ppas
zabudowanej,zabudować,ppas
zabudowania,zabudowania,subst
zabudowaniami,zabudowania,subst
zabudowany,zabudować,ppas
zabudowanych,zabudować,ppas
zabudowanym,zabudować,ppas
zabudowanymi,zabudować,ppas
zabudowaną,zabudować,ppas
zabudowały,zabudować,praet
zabudowań,zabudowania,subst
zabudowie,zabudowa,subst
zabudowy,zabudowa,subst
zabudową,zabudowa,subst
zabudowę,zabudowa,subst
zaburzenia,zaburzenia,subst
zaburzeniami,zaburzenia,subst
zaburzenie,zaburzenie,subst
zaburzeń,zaburzenia,subst
zaburzone,zaburzyć,ppas
zaburzonych,zaburzyć,ppas
zaburzonym,zaburzyć,ppas
zabytkach,zabytek,subst
zabytkami,zabytek,subst
zabytki,zabytek,subst
zabytkowe,zabytkowy,adj
zabytkowego,zabytkowy,adj
zabytkowej,zabytkowy,adj
zabytkowy,zabytkowy,adj
zabytkowych,zabytkowy,adj
zabytkowym,zabytkowy,adj
zabytkowymi,zabytkowy,adj
zabytkową,zabytkowy,adj
zabytku,zabytek,subst
zabytków,zabytek,subst
zabójstwa,zabójstwo,subst
zabójstwo,zabójstwo,subst
zabłąkanych,zabłąkana,subst
zabłąkały,zabłąkać,praet
zacatechichi,zacatechichi,ign
zachodni,zachodni,adj
zachodnia,zachodni,adj
zachodnich,zachodni,adj
zachodniego,zachodni,adj
zachodnim,zachodni,adj
zachodnio,zachodnio,adv
zachodnioeuropejską,zachodnioeuropejski,adj
zachodniopomorskie,zachodniopomorski,adj
zachodniopomorskiego,zachodniopomorski,adj
zachodu,zachód,subst
zachodzi,zachodzić,fin
zachodzić,zachodzić,inf
zachodziła,zachodzić,praet
zachodziła,zachodzić,praet
by,by,qub
zachodziły,zachodzić,praet
zachodzą,zachodzić,fin
zachodzące,zachodzić,pact
zachodzącego,zachodzić,pact
zachodzącej,zachodzić,pact
zachodzących,zachodzić,pact
zachodzącymi,zachodzić,pact
zachorowalności,zachorowalność,subst
zachorowania,zachorować,ger
zachorowaniach,zachorować,ger
zachorowanie,zachorować,ger
zachorował,zachorować,praet
zachorowań,zachorować,ger
zachowa,zachować,fin
zachowam,zachować,fin
zachowana,zachować,ppas
zachowane,zachować,ppas
zachowania,zachowanie,subst
zachowaniach,zachowanie,subst
zachowanie,zachowanie,subst
zachowaniem,zachowanie,subst
zachowaniom,zachowanie,subst
zachowaniu,zachowanie,subst
zachowano,zachować,imps
zachowany,zachować,ppas
zachowawczego,zachowawczy,adj
zachowawczej,zachowawczy,adj
zachowawczych,zachowawczy,adj
zachowawczą,zachowawczy,adj
zachować,zachować,inf
zachował,zachować,praet
zachowała,zachować,praet
by,by,qub
zachowały,zachować,praet
zachowań,zachowanie,subst
zachowek,zachowek,subst
zachowku,zachowek,subst
zachowuje,zachowywać,fin
zachowują,zachowywać,fin
zachowując,zachowywać,pcon
zachowujący,zachowywać,pact
zachowującym,zachowywać,pact
zachowywanie,zachowywać,ger
zachowywać,zachowywać,inf
zachwalanie,zachwalać,ger
zachwiane,zachwiać,ppas
zachęca,zachęcać,fin
zachęcającego,zachęcający,adj
zachęcających,zachęcający,adj
zachęcania,zachęcać,ger
zachęcanie,zachęcać,ger
zachęcaniu,zachęcać,ger
zachęcać,zachęcać,inf
zachęcenia,zachęcić,ger
zachęty,zachęt,subst
zachętę,zachęta,subst
zaciemnione,zaciemnić,ppas
zaciera,zacierać,fin
zacieraczki,zacieraczka,subst
zacierania,zacierać,ger
zacieśniania,zacieśniać,ger
zacią,zacią,ign
zaciąg,zaciąg,subst
zaciąga,zaciągać,fin
zaciągane,zaciągać,ppas
zaciąganego,zaciągać,ppas
zaciągania,zaciągać,ger
zaciąganie,zaciągać,ger
zaciąganiu,zaciągać,ger
zaciąganych,zaciągać,ppas
zaciągać,zaciągać,inf
zaciągnie,zaciągnąć,fin
zaciągnię,zaciągnię,ign
zaciągnięcia,zaciągnąć,ger
zaciągnięcie,zaciągnąć,ger
zaciągnięte,zaciągnąć,ppas
zaciągniętego,zaciągnąć,ppas
zaciągniętej,zaciągnąć,ppas
zaciągnięto,zaciągnąć,imps
zaciągnięty,zaciągnąć,ppas
zaciągniętych,zaciągnąć,ppas
zaciągniętym,zaciągnąć,ppas
zaciągnąć,zaciągnąć,inf
zaciągnął,zaciągnąć,praet
zaciągnęła,zaciągnąć,praet
zaciągu,zaciąg,subst
zacji,zacji,ign
zacją,zacją,ign
zację,zację,ign
zacofania,zacofanie,subst
zacumowanych,zacumować,ppas
zacyjnych,zacyjnych,ign
zaczną,zacząć,fin
zaczyna,zaczynać,fin
zaczynają,zaczynać,fin
zaczynać,zaczynać,inf
zaczętej,zacząć,ppas
zadaje,zadawać,fin
zadają,zadawać,fin
zadane,zadany,adj
zadania,zadanie,subst
zadaniach,zadanie,subst
zadaniami,zadanie,subst
zadanie,zadanie,subst
zadaniem,zadanie,subst
zadaniom,zadanie,subst
zadaniowe,zadaniowy,adj
zadaniowego,zadaniowy,adj
zadaniowy,zadaniowy,adj
zadaniowych,zadaniowy,adj
zadaniowym,zadaniowy,adj
zadaniu,zadanie,subst
zadanych,zadany,adj
zadaszone,zadaszony,adj
zadatku,zadatek,subst
zadatków,zadatek,subst
zadawania,zadawać,ger
zadawanie,zadawać,ger
zadawać,zadawać,inf
zadań,zadanie,subst
zadecydować,zadecydować,inf
zadecyduje,zadecydować,fin
zadekla,zadekiel,subst
zadeklaro,zadeklaro,ign
zadeklarowana,zadeklarować,ppas
zadeklarowane,zadeklarować,ppas
zadeklarowanej,zadeklarować,ppas
zadeklarowania,zadeklarować,ger
zadeklarowano,zadeklarować,imps
zadeklarowany,zadeklarować,ppas
zadeklarowanych,zadeklarować,ppas
zadeklarowanym,zadeklarować,ppas
zadeklarowaną,zadeklarować,ppas
zadeklarować,zadeklarować,inf
zadeklarował,zadeklarować,praet
zadeklarowało,zadeklarować,praet
zadeklaruje,zadeklarować,fin
zadowalająca,zadowalający,adj
zadowalającego,zadowalający,adj
zadowalającej,zadowalający,adj
zadowalającą,zadowalający,adj
zadowolony,zadowolony,adj
zadość,zadość,adv
zadośćuczynienia,zadośćuczynienie,subst
zadośćuczynienie,zadośćuczynienie,subst
zadośćuczynić,zadośćuczynić,inf
zadrażnień,zadrażnienie,subst
zadrukowana,zadrukować,ppas
zadrzewianie,zadrzewiać,ger
zadrzewienia,zadrzewić,ger
zadrzewieniach,zadrzewić,ger
zadrzewieniami,zadrzewić,ger
zadrzewienie,zadrzewić,ger
zadrzewieniom,zadrzewić,ger
zadrzewień,zadrzewić,ger
zadrzewionych,zadrzewić,ppas
zadysponowania,zadysponować,ger
zadysponowanie,zadysponować,ger
zadysponuje,zadysponować,fin
zadłużeni,zadłużyć,ppas
zadłużenia,zadłużenie,subst
zadłużenie,zadłużenie,subst
zadłużeniem,zadłużenie,subst
zadłużeniu,zadłużenie,subst
zadłużeń,zadłużenie,subst
zaewidencjonowane,zaewidencjonować,ppas
zaewidencjonowanej,zaewidencjonować,ppas
zaewidencjonowania,zaewidencjonować,ger
zaewidencjonowanych,zaewidencjonować,ppas
zafaktu,zafakt,subst
zafałszowane,zafałszować,ppas
zafałszowania,zafałszować,ger
zafałszowany,zafałszować,ppas
zafałszowanym,zafałszować,ppas
zafałszowań,zafałszować,ger
zagadnienia,zagadnienie,subst
zagadnieniami,zagadnienie,subst
zagadnienie,zagadnienie,subst
zagadnień,zagadnienie,subst
zagarnięcia,zagarnięcie,subst
zagarnięty,zagarnąć,ppas
zaginie,zaginąć,fin
zaginionego,zaginiony,subst
zaginionej,zaginiona,subst
zaginiony,zaginiony,subst
zaginionych,zaginiona,subst
zaginionym,zaginiona,subst
zaginioną,zaginiona,subst
zaginięcia,zaginięcie,subst
zaginięcie,zaginięcie,subst
zaginięciem,zaginięcie,subst
zaginięciu,zaginięcie,subst
zaginął,zaginąć,praet
zaginęli,zaginąć,praet
zaginęły,zaginąć,praet
zagniwanie,zagniwać,ger
zagospodarowane,zagospodarować,ppas
zagospodarowania,zagospodarować,ger
zagospodarowanie,zagospodarować,ger
zagospodarowaniem,zagospodarować,ger
zagospodarowaniu,zagospodarować,ger
zagospodarowany,zagospodarować,ppas
zagospodarowanych,zagospodarować,ppas
zagospodarować,zagospodarować,inf
zagospodarowuje,zagospodarowywać,fin
zagospodarowywanie,zagospodarowywać,ger
zagra,zagrać,fin
zagranica,zagranica,subst
zagranicy,zagranica,subst
zagraniczna,zagraniczny,adj
zagraniczne,zagraniczny,adj
zagranicznego,zagraniczny,adj
zagranicznej,zagraniczny,adj
zagranicznemu,zagraniczny,adj
zagraniczni,zagraniczny,adj
zagraniczny,zagraniczny,adj
zagranicznych,zagraniczny,adj
zagranicznym,zagraniczny,adj
zagranicznymi,zagraniczny,adj
zagraniczną,zagraniczny,adj
zagranicą,zagranica,subst
zagranicę,zagranica,subst
zagraża,zagrażać,fin
zagrażają,zagrażać,fin
zagrażająca,zagrażać,pact
zagrażające,zagrażać,pact
zagrażającego,zagrażać,pact
zagrażającej,zagrażać,pact
zagrażający,zagrażać,pact
zagrażających,zagrażać,pact
zagrażającym,zagrażać,pact
zagrażającymi,zagrażać,pact
zagrażającą,zagrażać,pact
zagrażać,zagrażać,inf
zagrażał,zagrażać,praet
zagrażało,zagrażać,praet
by,by,qub
zagrażały,zagrażać,praet
zagregowanych,zagregować,ppas
zagrodowego,zagrodowy,adj
zagrodowej,zagrodowy,adj
zagrodową,zagrodowy,adj
zagroenie,zagroenie,ign
zagrozi,zagrozić,fin
